Company Name,ISIN,CUSIP (extended),SEDOL Code,RIC
Golden Rock Global PLC,JE00BYZT0R68,G3957S108,BYZT0R6,GCG.L
Bellevue Healthcare Trust PLC,GB00BZCNLL95,G08976105,BZCNLL9,BBH.L
Civitas Social Housing PLC,GB00BD8HBD32,G2251U108,BD8HBD3,CSH.L
Oxford Biodynamics PLC,GB00BD5H8572,G68367104,BD5H857,OBD.L
Warpaint London PLC,GB00BYMF3676,G94524108,BYMF367,W7L.L
Creo Medical Group PLC,GB00BZ1BLL44,G253HH102,BZ1BLL4,CREO.L
RM Infrastructure Income PLC,GB00BYMTBG55,G2967D101,BYMTBG5,RMII.L
S4 Capital PLC,GB00BFZZM640,G8059H124,BFZZM64,SFOR.L
Grand Vision Media Holdings PLC,GB00BDHBGL97,G816C2104,BDHBGL9,GVMH.L
Zenith Energy Ltd (CA),CA98936C1068,98936C106,BYNXNZ9,ZENZ.L
Stranger Holdings PLC,GB00BYWLRL80,G8525C105,BYWLRL8,STHP.L
Develop North PLC,GB00BD0ND667,G8T249107,BD0ND66,DVNO.L
Impact Healthcare REIT PLC,GB00BYXVMJ03,G4720P108,BYXVMJ0,IHR.L
Rainbow Rare Earths Ltd,GG00BD59ZW98,G7S29Y100,BD59ZW9,RBWR.L
Diversified Energy Company PLC,GB00BYX7JT74,G2891G105,BYX7JT7,DEC.L
LXI REIT PLC,GB00BYQ46T41,G57009105,BYQ46T4,LXIL.L
Ramsdens Holdings PLC,GB00BDR6V192,G7367X102,BDR6V19,RFXR.L
Arix Bioscience PLC,GB00BD045071,G0477B102,BD04507,ARIX.L
Coro Energy Plc,GB00BDCFP425,G2480E107,BDCFP42,CORO.L
Emmerson PLC,IM00BDHDTX83,G30445103,BDHDTX8,EML.L
XPS Pensions Group PLC,GB00BDDN1T20,G9829Q105,BDDN1T2,XPS.L
UP Global Sourcing Holdings PLC,GB00BYX7MG58,G929ZL108,BYX7MG5,UPGS.L
BioPharma Credit PLC,GB00BDGKMY29,G12808104,BDGKMY2,BPCR.L
Tufton Oceanic Assets Ltd,GG00BDFC1649,G91213101,BDFC164,SHIP.L
Medica Group PLC,GB00BYV24996,G5957X102,BYV2499,MGPM.L
Downing Strategic Micro-Cap Investment Trust PLC,GB00BF0SCX52,G29013110,BF0SCX5,DSM.L
SkinBioTherapeutics PLC,GB00BF33H870,G7208A105,BF33H87,SBTX.L
Dukemount Capital PLC,GB00B6WZDF03,G2861J105,B6WZDF0,DKE.L
DG Innovate PLC,GB00BYQD5059,G6943W109,BYQD505,DGI.L
Deepverge PLC,GB00BMGWZY29,G4795Z114,BMGWZY2,DVRG.L
Logistics Development Group PLC,GB00BD8QVC95,G5557U102,BD8QVC9,LDG.L
Alpha Group International PLC,GB00BF1TM596,G021A9108,BF1TM59,ALPH.L
EJF Investments Ltd,JE00BF0D1M25,G29515106,BF0D1M2,EJFI.L
Ten Entertainment Group PLC,GB00BF020D33,G87595107,BF020D3,TEG.L
Verditek PLC,GB00BF2C0424,G9341Z104,BF2C042,VDTK.L
Triple Point Income VCT PLC,GB00BD89H869,G9082B167,BD89H86,TPVE.L
Global Ports Holding PLC,GB00BD2ZT390,G392A4104,BD2ZT39,GPH.L
Kanabo Group PLC,GB00BYQCS703,G8353R109,BYQCS70,KNB.L
Velocity Composites PLC,GB00BF339H01,G9330Z107,BF339H0,VELV.L
Grand Fortune High Grade Ltd,KYG405621031,G40562103,BD3F4R7,GFHG.L
I3 Energy PLC,GB00BDHXPJ60,G63339108,BDHXPJ6,I3E.L
Alfa Financial Software Holdings PLC,GB00BDHXPG30,G01682106,BDHXPG3,ALFAAL.L
PRS Reit PLC,GB00BF01NH51,G7282R107,BF01NH5,PRSR.L
Alternative Income REIT PLC,GB00BDVK7088,G0231J102,BDVK708,AIREA.L
Residential Secure Income PLC,GB00BYSX1508,G75239106,BYSX150,RESIR.L
DP Eurasia NV,NL0012328801,N2745K106,BZ12PK4,DPEU.L
Phoenix Copper Ltd,VGG7060R1139,G7060R113,BG0NY31,PXC.L
PCGH ZDP PLC,GB00BDHXP963,G6S6AB101,BDHXP96,PGHZo.L
Ethernity Networks Ltd,IL0011410359,M4101K101,BF2B834,ENET.L
Jangada Mines PLC,GB00BZ11WQ61,G5006J104,BZ11WQ6,JANJ.L
Tatton Asset Management PLC,GB00BYX1P358,G86841106,BYX1P35,TAMT.L
Rockpool Acquisitions PLC,GB00BF2MWC40,G76168106,BF2MWC4,ROC.L
Hipgnosis Songs Fund Ltd,GG00BFYT9H72,G4497R113,BFYT9H7,SONG.L
Aberforth Split Level Income Trust PLC,GB00BYPBD394,G0043Y156,BYPBD39,ASITA.L
Nexus Infrastructure PLC,GB00BZ77SW60,G6501Z106,BZ77SW6,NEXSN.L
Supermarket Income REIT PLC,GB00BF345X11,G8586X105,BF345X1,SUPR.L
Sherborne Investors (Guernsey) C Ltd,GG00BZ3C3B94,G8T17N105,BZ3C3B9,SIGC.L
Fandango Holdings PLC,GB00BF2P0G38,G330AM104,BF2P0G3,FHP.L
Angling Direct PLC,GB00BF1XGQ00,G03755108,BF1XGQ0,ANG.L
Gabelli Merger Plus+ Trust PLC,GB00BD8P0741,G37041103,BD8P074,GMPG.L
QUIZ PLC,JE00BZ00SF59,G7312X108,BZ00SF5,QUIZ.L
GetBusy PLC,GB00BG0TSD71,G3852A111,BG0TSD7,GETB.L
450 PLC,JE00BZBYC658,G9614G106,BZBYC65,450.L
Triple Point Social Housing REIT PLC,GB00BF0P7H59,G9082C108,BF0P7H5,SOHO.L
Strix Group PLC,IM00BF0FMG91,G8527X107,BF0FMG9,KETL.L
Xpediator PLC,GB00BF6P5V92,G982A2106,BF6P5V9,XPD.L
Asia Strategic Holdings Ltd,SG9999015747,Y6S49S101,BZ06JL6,ASIA.L
Warehouse REIT PLC,GB00BD2NCM38,G94437103,BD2NCM3,WHRW.L
Chesterfield Resources PLC,GB00BF2F1X78,G20918101,BF2F1X7,CHF.L
Destiny Pharma PLC,GB00BDHSP575,G27357105,BDHSP57,DEST.L
Springfield Properties PLC,GB00BF1QPG26,G8374P108,BF1QPG2,SPRSP.L
Seeen PLC,GB00BK6SHS41,G11764100,BK6SHS4,SEEN.L
Curzon Energy PLC,GB00BD97ND60,G2R16E101,BD97ND6,CZN.L
Cora Gold Ltd,VGG2423W1077,G2423W107,BF012B2,CORAC.L
Alpha Financial Markets Consulting PLC,GB00BF16C058,G021AC101,BF16C05,AFM.L
Orient Telecoms PLC,GB00BYPHCZ29,G68055105,BYPHCZ2,ORNT.L
TI Fluid Systems PLC,GB00BYQB9V88,G8866H101,BYQB9V8,TIFS.L
RHI Magnesita NV,NL0012650360,N7428R104,BYZ2JR8,RHIM.L
Andrada Mining Ltd,GG00BD95V148,G012B4107,BD95V14,ATM.L
Contango Holdings PLC,GB00BF0F5X78,G25211106,BF0F5X7,CGO.L
UIL Finance Ltd,BMG916102079,G91610207,BDZTXY7,UTLGUo.L
Boku Inc,USU7744C1063,U7744C106,BF0GJW7,BOKU.L
Sabre Insurance Group PLC,GB00BYWVDP49,G7739M107,BYWVDP4,SBRE.L
Bakkavor Group Plc,GB00BF8J3Z99,G0R792105,BF8J3Z9,BAKK.L
Keystone Law Group PLC,GB00BZ020557,G5251T104,BZ02055,KEYS.L
Ten Lifestyle Group PLC,GB00BF188X60,G87597103,BF188X6,TENG.L
City Pub Group PLC,GB00BYWRS683,G2168R107,BYWRS68,CPC.L
Beeks Financial Cloud Group PLC,GB00BZ0X8W18,G0954A106,BZ0X8W1,BKSB.L
Mirriad Advertising PLC,GB00BF52QY14,G6192S106,BF52QY1,MIRI.L
Thunderbird Resorts Inc,VGG885761061,G88576106,B4592M5,0M8W.L
Zinnwald Lithium PLC,GB00BFN4GY99,G9R04L104,BFN4GY9,ZNWD.L
Star Phoenix Group Ltd,AU0000067084,Q8721Q113,BKMDWK0,STAST.L
abrdn European Logistics Income PLC,GB00BD9PXH49,G9768L117,BD9PXH4,ASLI.L
Fusion Antibodies PLC,GB00BDQZGK16,G3708Z104,BDQZGK1,FAB.L
Shefa Gems Ltd,IL0011101057,M8T01H109,B2QF5R4,SEFA.L
Pelatro PLC,GB00BYXH8F66,G6993D100,BYXH8F6,PTRO.L
Belluscura PLC,GB00BD3B8Z11,G09717102,BD3B8Z1,BELLB.L
Alpha Growth PLC,GB00BYWKBC49,G021AD109,BYWKBC4,ALGW.L
Pennpetro Energy PLC,GB00BF2K5076,G82965107,BF2K507,PPPP.L
Panthera Resources PLC,GB00BD2B4L05,G6901Z102,BD2B4L0,PATP.L
Quilter PLC,GB00BNHSJN34,G3651J115,BNHSJN3,QLT.L
SDV 2025 ZDP PLC,GB00BZ7MQD81,G7T977105,BZ7MQD8,SDVPo.L
AIQ Ltd,KYG0180A1022,G0180A102,BF5R710,AIQ.L
Sure Ventures PLC,GB00BYWYZ460,G85884107,BYWYZ46,SURE.L
Consus Real Estate AG,DE000A2DA414,D1S9TZ106,BD6TBW0,0W6K.L
Jpmorgan Multi-Asset Growth & Income PLC,GB00BFWJJT14,G519C2104,BFWJJT1,MATEJ.L
Augmentum Fintech PLC,GB00BG12XV81,G0696X109,BG12XV8,AUGM.L
Onthemarket PLC,GB00BFN3K335,G6754E107,BFN3K33,OTMPO.L
TruFin PLC,JE00BYVWJZ03,G9078N100,BYVWJZ0,TRU.L
Marble Point Loan Financing Ltd,GG00BF1Q4G54,G58067102,BF1Q4G5,MPLF.L
Energean PLC,GB00BG12Y042,G303AF106,BG12Y04,ENOG.L
IntegraFin Holdings plc,GB00BD45SH49,G4796T109,BD45SH4,IHPI.L
ENGAGE XR Holdings PLC,IE00BG0HDR01,G9390J100,BFZWBQ8,EXRE.L
GRC International Group PLC,GB00BG06MV41,G4068A101,BG06MV4,GRCG.L
JTC PLC,JE00BF4X3P53,G5211H117,BF4X3P5,JTC.L
Polarean Imaging PLC,GB00BF3DT583,G7152C107,BF3DT58,POLX.L
Baillie Gifford US Growth Trust PLC,GB00BDFGHW41,G077C0107,BDFGHW4,USAB.L
Life Settlement Assets PLC,GB00BF1Q4B05,G5485C109,BF1Q4B0,LSAA.L
Gore Street Energy Storage Fund PLC,GB00BG0P0V73,G3992C100,BG0P0V7,GSF.L
Kore Potash PLC,GB00BYP2QJ94,G5312W112,BYP2QJ9,KP2.L
Fintel PLC,GB00BG1THS43,G8145U105,BG1THS4,FNTL.L
KRM22 PLC,GB00BFM6WC61,G53173103,BFM6WC6,KRMK.L
UAE Oil Services PLC,IM00BF5G7P11,G44629106,BF5G7P1,UOS.L
Odyssean Investment Trust PLC,GB00BFFK7H57,G670A2107,BFFK7H5,OIT.L
RBG Holdings PLC,GB00BFM6WL52,G7640D105,BFM6WL5,RBGP.L
Team17 Group PLC,GB00BYVX2X20,G8715B107,BYVX2X2,TM17.L
Supreme PLC,GB00BDT89C08,G8586Y103,BDT89C0,SUP.L
Serinus Energy PLC,JE00BNNMKT29,G8052E110,BNNMKT2,SENX.L
Predator Oil & Gas Holdings PLC,JE00BFZ1D698,G72090106,BFZ1D69,PRDP.L
Tritax EuroBox PLC,GB00BG382L74,G9101X109,BG382L7,EBOX.L
Aquis Exchange PLC,GB00BD5JNK30,G0507P105,BD5JNK3,AQX.L
Georgia Capital PLC,GB00BF4HYV08,G9687A101,BF4HYV0,CGEO.L
Cordel Group PLC,GB00BYZQM590,G5746Z103,BYZQM59,CRDL.L
Tekmar Group PLC,GB00BDFGGK53,G8738Y100,BDFGGK5,TGPT.L
Yellow Cake PLC,JE00BF50RG45,G98334108,BF50RG4,YCA.L
Knights Group Holdings PLC,GB00BFYF6298,G5S03U102,BFYF629,KGHK.L
i-nexus Global PLC,GB00BDFDLT01,G4768Y102,BDFDLT0,INX.L
Block Energy PLC,GB00BF3TBT48,G11763102,BF3TBT4,BLOE.L
Amigo Holdings PLC,GB00BFFK8T45,G04043108,BFFK8T4,AMGO.L
Anexo Group PLC,GB00BF2G3L29,G0417L103,BF2G3L2,ANXA.L
Ashoka India Equity Investment Trust PLC,GB00BF50VS41,G0R1ND116,BF50VS4,AIE.L
Argo Blockchain PLC,GB00BZ15CS02,G053A3104,BZ15CS0,ARB.L
Ra International Group Plc,GB00BDZV6W26,G7353B106,BDZV6W2,RAI.L
Cake Box Holdings PLC,GB00BDZWB751,G1R596108,BDZWB75,CBOX.L
Mind Gym PLC,GB00BF3SQB83,G6177S105,BF3SQB8,MIND.L
ASA International Group PLC,GB00BDFXHW57,G0R8A4107,BDFXHW5,ASAI.L
Puma VCT 13 PLC,GB00BD5B1L68,G7297S108,BD5B1L6,PU13.L
Let's Explore Group PLC,GB00BD5JRP64,G471AD106,BD5JRP6,LETS.L
Watches of Switzerland Group PLC,GB00BJDQQ870,G94648105,BJDQQ87,WOSG.L
Kropz PLC,GB00BZ1HLP69,G5318K104,BZ1HLP6,KRPZ.L
Ceiba Investments Ltd,GG00BFMDJH11,G2024Q137,BFMDJH1,CBACE.L
Pareteum Corp,US69946T2078,69946T207,BYVQZS7,0US7.L
Works co uk PLC,GB00BF5HBF20,G9541C103,BF5HBF2,WRKS.L
Trackwise Designs PLC,GB00BFYT9999,G8983Z109,BFYT999,TWD.L
Grit Real Estate Income Group Ltd,GG00BMDHST63,G41036107,BMDHST6,GR1T.L
Kavango Resources PLC,GB00BF0VMV24,G521E4104,BF0VMV2,KAV.L
Amala Foods PLC,JE00BG12QT70,G1410Y100,BG12QT7,DISHB.L
Jadestone Energy PLC,GB00BLR71299,G5004U101,BLR7129,JSE.L
Renalytix PLC,GB00BYWL4Y04,G7489R108,BYWL4Y0,RENX.L
Funding Circle Holdings PLC,GB00BG0TPX62,G3691F107,BG0TPX6,FCH.L
Smithson Investment Trust PLC,GB00BGJWTR88,G82402101,BGJWTR8,SSON.L
AVI Japan Opportunity Trust PLC,GB00BD6H5D36,G0R1NH109,BD6H5D3,AJOT.L
Mobius Investment Trust PLC,GB00BFZ7R980,G6225R109,BFZ7R98,MMIT.L
Imperial Brands Finance PLC,XS0387847576,,B3D1RT8,67SR.L
British Telecommunications PLC,XS0306772699,G1582KAQ5,B1YYD83,70TD.L
Aston Martin Lagonda Global Holdings PLC,GB00BN7CG237,G05873149,BN7CG23,AML.L
John Lewis PLC,XS0527985583,G51464AG3,B434V14,45CR.L
Trident Royalties PLC,GB00BF7J2535,G90474100,BF7J253,TRR.L
Gresham House Energy Storage Fund PLC,GB00BFX3K770,G4110M103,BFX3K77,GRID.L
Chrysalis Investments Ltd,GG00BGJYPP46,G6000Y113,BGJYPP4,CHRY.L
Celadon Pharmaceuticals PLC,GB00BDQYGP38,G8562L109,BDQYGP3,CEL.L
AJ Bell PLC,GB00BFZNLB60,G01457103,BFZNLB6,AJBA.L
Cobra Resources PLC,GB00BGJW5255,G2358L100,BGJW525,COBR.L
M&G Credit Income Investment Trust PLC,GB00BFYYL325,G60748111,BFYYL32,MGCI.L
Tpximpact Holdings PLC,GB00BGGK0V60,G6890X100,BGGK0V6,TPXT.L
Airtel Africa PLC,GB00BKDRYJ47,G01415101,BKDRYJ4,AAF.L
GSTechnologies Ltd,VGG4164C1005,G4164C100,BJVHXV4,GST.L
SDCL Energy Efficiency Income Trust PLC,GB00BGHVZM47,G7T96H104,BGHVZM4,SEIT.L
finnCap Group PLC,GB00BGKPX309,G3449M107,BGKPX30,FCAP.L
Honye Financial Services Ltd,KYG4598W1024,G4598W102,BGR5J02,HOYE.L
Manolete Partners PLC,GB00BYWQCY12,G57929104,BYWQCY1,MANO.L
Litigation Capital Management Ltd,AU000000LCA6,Q5594R103,BD2PHW4,LITL.L
Starcrest Education The Belt & Road Ltd,KYG843791099,G84379109,BJ2KD34,OBOR.L
DWF Group PLC,GB00BJMD6M39,G29406108,BJMD6M3,DWF.L
Diaceutics PLC,GB00BJQTGV64,G2755U109,BJQTGV6,DXRX.L
Schiehallion Fund Ltd,GG00BJ0CDD21,G78497107,BJ0CDD2,MNTN.L
Ferro-Alloy Resources Ltd,GG00BGDYDZ69,G3362J115,BJVNZ49,FARF.L
Loungers PLC,GB00BH4JR002,G56561106,BH4JR00,LGRS.L
Network International Holdings PLC,GB00BH3VJ782,G6457T104,BH3VJ78,NETW.L
Triple Point VCT 2011 PLC,GB00BDTYGZ09,G9080E130,BDTYGZ0,TPON.L
US Solar Fund PLC,GB00BJCWFX49,G930CZ100,BJCWFX4,USF.L
Blencowe Resources PLC,GB00BFCMVS34,G1168Q101,BFCMVS3,BRESB.L
East Imperial PLC,GB00BMZ1ND56,G1R92C112,BMZ1ND5,EISB.L
Distribution Finance Capital Holdings PLC,GB00BJ7HMR72,G2769Y105,BJ7HMR7,DFCH.L
Induction Healthcare Group PLC,GB00BJ0M3545,G47631109,BJ0M354,INHC.L
Essensys PLC,GB00BJL1ZF49,G3198C102,BJL1ZF4,ESYS.L
Aquila European Renewables PLC,GB00BK6RLF66,G0507T107,BJMXQK1,AERS.L
Riverstone Credit Opportunities Income PLC,GB00BJHPS390,G75949100,BJHPS39,RCOI.L
Trainline PLC,GB00BKDTK925,G8992Y119,BKDTK92,TRNT.L
Argentex Group PLC,GB00BJLPH056,G053A6107,BJLPH05,AGFX.L
IMC Exploration Group PLC,IE00B6WC2H62,G4763T108,B6WC2H6,IMCI.L
MetalNRG PLC,GB00B15FS791,G98910105,B15FS79,MNRG.L
BSF Enterprise PLC,GB00BHNBDQ51,G1750P107,BHNBDQ5,BSFAB.L
Mustang Energy PLC,GB00BJ9MHH56,G6355D102,BJ9MHH5,MUST.L
Brickability Group PLC,GB00BK63S759,G1622G103,BK63S75,BRCK.L
JPMorgan Global Core Real Assets Ltd,GG00BJVKW831,G520A4100,BJVKW83,JARA.L
National World PLC,GB00BJN5J635,G63953106,BJN5J63,NWOR.L
Helios Towers PLC,GB00BJVQC708,G4431S102,BJVQC70,HTWS.L
M&G PLC,GB00BKFB1C65,G6107R102,BKFB1C6,MNG.L
RTW Biotech Opportunities Ltd,GG00BKTRRM22,G66054100,BKTRRM2,RTW.L
Adalan Ventures PLC,GB00BK5T9G03,G0115C108,BK5T9G0,ZAIM.L
Longboat Energy PLC,GB00BKFW2482,G5633A104,BKFW248,LBE.L
Pebble Group PLC,GB00BK71XP16,G0809Q108,BK71XP1,PEBB.L
Puma Alpha VCT PLC,GB00BGMG7F10,G73073101,BGMG7F1,PUAL.L
Ithaca Energy PLC,GB00BPJHV584,G49776100,BPJHV58,ITH.L
Octopus Renewables Infrastructure Trust PLC,GB00BJM02935,G673B0112,BJM0293,ORIT.L
Adriatic Metals PLC,GB00BL0L5G04,G01117111,BL0L5G0,ADT1.L
Panther Metals Plc,IM00BKDM2T52,G6889S104,BKDM2T5,PALMP.L
Nippon Active Value Fund PLC,GB00BKLGLS10,G6427Z115,BKLGLS1,NAVF.L
Inspecs Group PLC,GB00BK6JPP03,G4791D109,BK6JPP0,SPECI.L
FRP Advisory Group PLC,GB00BL9BW044,G371BX103,BL9BW04,FRP.L
Mining Minerals & Metals PLC,GB00BF7L9148,G61443100,BF7L914,MMMM.L
Ninety One PLC,GB00BJHPLV88,G6524E106,BJHPLV8,N91.L
Supply@Me Capital PLC,GB00BFMDJC60,G8587Z109,BFMDJC6,SYME.L
Blackfinch Spring VCT PLC,GB00BKV46W45,G1146B101,BKV46W4,BFSP.L
Graniteshares Financial PLC,XS2009195566,,BJ9JY75,3LVO.L
Pensana PLC,GB00BKM0ZJ18,G6S9DN106,BKV4DS9,PRE.L
Elixirr International PLC,GB00BLPHTX84,G3002J103,BLPHTX8,ELIX.L
Kooth PLC,GB00BMCZLK30,G5309V101,BMCZLK3,KOO.L
THG PLC,GB00BMTV7393,G8823P105,BMTV739,THG.L
Various Eateries PLC,GB00BM9BZK23,G932AZ108,BM9BZK2,VAREV.L
Home REIT PLC,GB00BJP5HK17,G4579X103,BJP5HK1,HOMEH.L
Critical Metals PLC,GB00BJVR6M63,G2661R109,BJVR6M6,CRTM.L
Tirupati Graphite PLC,GB00BFYMWJ95,G8T09D107,BFYMWJ9,TGRT.L
Calnex Solutions PLC,GB00BMBK7016,G1769D103,BMBK701,CLXC.L
Mode Global Holdings PLC,GB00BKX8NT01,G6180D103,BKX8NT0,MODE.L
Guild Esports PLC,GB00BMWVF760,G4197Z100,BMWVF76,GILDG.L
Fonix Mobile PLC,GB00BN789668,G3674J100,BN78966,FNXF.L
Triple Point Energy Transition PLC,GB00BMCBZL07,G9059T100,BMCBZL0,TENT.L
Verici Dx Plc,GB00BM8HZD43,G933HZ109,BM8HZD4,VRCI.L
Round Hill Music Royalty Fund Ltd,GG00BMXNVC81,G7669S108,BMXNVC8,RHM.L
Anemoi International Ltd,VGG0419A1057,G0419A105,BN2R4H4,AMOI.L
Schroder British Opportunities Trust PLC,GB00BN7JZR28,G78542100,BN7JZR2,SBO.L
VH Global Sustainable Energy Opportunities PLC,GB00BNKVP754,G9344Z101,BNKVP75,GSEO.L
Thames Water Utilities Finance PLC,XS0092157600,,0444255,94NA.L
Schroder BSC Social Impact Trust PLC,GB00BF781319,G788A1125,BF78131,SBSI.L
Heathrow Finance PLC,XS2081020872,G4381GAE8,BJTLY71,80CX.L
Ecofin US Renewables Infrastructure Trust PLC,GB00BLPK4430,G2925V102,BLPK443,RNEW.L
Conduit Holdings Ltd,BMG243851091,G24385109,BN133N2,CRE.L
PMGR Securities 2025 PLC,GB00BNG43G36,G7143S104,BNG43G3,PMGZ_p.L
Helium One Global Ltd,VGG4392T1075,G4392T107,BKPS321,HE1H.L
AdvancedAdvT Ltd,VGG0103J1075,G0103J107,BMYLGW6,ADVT.L
Marwyn Acquisition Company II Ltd,VGG5877D1033,G5877D103,BMYDMT1,MAC2.L
Marwyn Acquisition Company III Ltd,VGG5878H1038,G5878H103,BMYDMW4,MAC3.L
Downing Renewables & Infrastructure Trust PLC,GB00BLF7PP25,G29015107,BLF7PP2,DORE.L
Bytes Technology Group PLC,GB00BMH18Q19,G1824W104,BMH18Q1,BYIT.L
Intuitive Investments Group PLC,GB00BNGFMW59,G49134102,BNGFMW5,IIG.L
Abingdon Health PLC,GB00BLF79J41,G00524101,BLF79J4,ABDX.L
Vector Capital PLC,GB00BMH15P96,G932BZ107,BMH15P9,VCAP.L
One Heritage Group PLC,GB00BLF79495,G67514102,BLF7949,OHG.L
Pineapple Power Corporation PLC,GB00BD0SN947,G7112U106,BD0SN94,PNPL.L
Nightcap PLC,GB00BLKGVD49,G6519G108,BLKGVD4,NGHT.L
Wildcat Petroleum PLC,GB00BMQC7357,G9638S102,BMQC735,WCAT.L
Foresight Group Holdings Ltd,GG00BMD8MJ76,G365A1106,BMD8MJ7,FSGF.L
Moonpig Group PLC,GB00BMT9K014,G6225S107,BMT9K01,MOONM.L
Cordiant Digital Infrastructure Ltd,GG00BMC7TM77,G2540F110,BMC7TM7,CORD.L
Dr Martens PLC,GB00BL6NGV24,G2843S108,BL6NGV2,DOCS.L
Cellular Goods PLC,GB00BK964W87,G1993H102,BK964W8,CBX.L
Mast Energy Developments PLC,GB00BMBSCV12,G58773105,BMBSCV1,MASTM.L
4Basebio PLC,GB00BMCLYF79,G3656R104,BMCLYF7,4BB.L
Team PLC,JE00BM90BX45,G86986109,BM90BX4,TEAMT.L
Auction Technology Group PLC,GB00BMVQDZ64,G0623K105,BMVQDZ6,ATG.L
Virgin Wines UK PLC,GB00BN33TR63,G9372Z106,BN33TR6,VINO.L
Fix Price Group Ltd,US33835G2057,33835G205,BN30342,FIXPq.L
Narf Industries PLC,GB00BMH18M70,G272AZ109,BMH18M7,NARF.L
Tinybuild Inc,USU8884H1033,U8884H103,BN33QG4,TBLD.L
Deliveroo PLC,GB00BNC5T391,G27035107,BNC5T39,ROO.L
Amte Power PLC,GB00BNQRZZ55,G0417Z102,BNQRZZ5,AMTE.L
Itsarm PLC,GB00BMXMR838,G49121109,BMXMR83,ITS.L
ActiveOps PLC,GB00BLH37Y17,G007AD108,BLH37Y1,AOM.L
Caerus Mineral Resources PLC,GB00BMDQ4L78,G1R46A105,BMDQ4L7,CMRS.L
Roquefort Therapeutics PLC,GB00BMDQ2T15,G7636B105,BMDQ2T1,ROQ.L
Trustpilot Group PLC,GB00BNK9TP58,G91044100,BNK9TP5,TRST.L
Digital 9 Infrastructure PLC,JE00BMDKH437,G2866D103,BMDKH43,DGI9.L
Cornerstone FS PLC,GB00BNG7CD28,G2424B102,BNG7CD2,CSFS.L
Darktrace PLC,GB00BNYK8G86,G2658M105,BNYK8G8,DARK.L
Pensionbee Group PLC,GB00BNDRLN84,G6994Z100,BNDRLN8,PBEE.L
musicMagpie PLC,GB00BKY4XG48,G572HZ105,BKY4XG4,MMAG.L
Alphawave IP Group PLC,GB00BNDRMJ14,G03355107,BNDRMJ1,AWE.L
Wickes Group PLC,GB00BL6C2002,G8927W105,BL6C200,WIX.L
Taylor Maritime Investments Ltd,GG00BP2NJT37,G8673D103,BP2NJT3,TMI.L
East Star Resources PLC,GB00BN92HZ16,G2911E106,BN92HZ1,EST.L
Glantus Holdings PLC,IE00BNG2V304,G39339109,BNG2V30,GLAN.L
Cizzle Biotechnology Holdings PLC,GB00BNG2VN02,G1264V137,BNG2VN0,CIZ.L
Aquila Energy Efficiency Trust PLC,GB00BN6JYS78,G05081115,BN6JYS7,AEET.L
Oxford Cannabinoid Technologies Holdings PLC,GB00BMVMRB86,G6836H102,BMVMRB8,OCTP.L
Dianomi PLC,GB00BLH32M40,G2758E102,BLH32M4,DNM.L
Kitwave Group PLC,GB00BNYKB709,G5282G105,BNYKB70,KITW.L
Trellus Health PLC,GB00BNNFM402,G9026S102,BNNFM40,TRLST.L
African Pioneer PLC,IM00B8C0HK22,G012AE106,B8C0HK2,AFPA.L
Arecor Therapeutics PLC,GB00BMWLM973,G0R21D100,BMWLM97,AREC.L
Cloudbreak Discovery PLC,GB00B44LQR57,G2215E109,B44LQR5,CDL.L
Artisanal Spirits Company PLC,GB00BNXM3P96,G0R6B0108,BNXM3P9,ART.L
Victorian Plumbing Group PLC,GB00BNVVHD43,G9345Z100,BNVVHD4,VIC.L
Spectral MD Holdings Ltd,USU8457V1099,U8457V109,BKY4VZ9,SMD.L
Literacy Capital PLC,GB00BMF1L080,G5503Q106,BMF1L08,BOOK.L
Silver Bullet Data Services Group PLC,GB00BNXM0Z89,G817BG102,BNXM0Z8,SBDS.L
Itim Group PLC,GB00BMD2H500,G6333A105,BMD2H50,ITIM.L
Baltic Classifieds Group PLC,GB00BN44P254,G07167102,BN44P25,BCG.L
Seraphim Space Investment Trust PLC,GB00BKPG0138,G8038J100,BKPG013,SSIT.L
Wise PLC,GB00BL9YR756,G97229101,BL9YR75,WISEa.L
Saietta Group PLC,GB00BNDM6X87,G7792Z102,BNDM6X8,SED.L
CMO Group PLC,GB00BMB5Y385,G22345105,BMB5Y38,CMOC.L
LungLife AI Inc,USU5500L1045,,BLPJ4G2,LLAI.L
Kelso Group Holdings PLC,GB00BK1VJS23,G4789F108,BK1VJS2,KLSO.L
Lendinvest PLC,GB00BMC2XX17,G544FZ106,BMC2XX1,LINV.L
Orcadian Energy PLC,GB00BN0TY502,G676AS107,BN0TY50,ORCAO.L
Bridgepoint Group PLC,GB00BND88V85,G1636M104,BND88V8,BPTB.L
Poolbeg Pharma PLC,GB00BKPG7Z60,G7169T101,BKPG7Z6,POLB.L
Revolution Beauty Group PLC,GB00BP7L1T61,G7546C102,BP7L1T6,REVB.L
Forward Partners Group PLC,GB00BKPGBB09,G3646P101,BKPGBB0,FWD.L
Bradda Head Lithium Limited,VGG154091083,G15409108,BG0L6F1,BHL.L
Acceler8 Ventures PLC,JE00BNG2DL20,G0088F104,BNG2DL2,AC8.L
Lords Group Trading PLC,GB00BM9CLS53,G5647B106,BM9CLS5,LORD.L
